Tot No. Simulations	E	Ft	Gft	Height	Length	Opening Rate	Distance	E_Soil	Soil_Piossons	Trough Width	Friction 	VL	Depth	Diameter	Fc	LTSM	Crack Width	C. Numbers	Max Slope	Max Tilt	Ang. Dis.	Max H. Strain	Dam. Area (%)	Strain (100%)	Strain (99%)	Strain (98%)	Strain (97%)	Strain (96%)	Strain (95%)	Local Avg.	Global Avg.
0	3653.786	0.607	0.027	7.203	20.554	22.119	16.729	219.134	0.153	10.240	0.104	0.745	34.206	13.834	9.421	0.00052	0.00	0	0.00194	0.00184	0.000105	6.80E-05	0	0.000076	0.000061	0.000056	0.000052	0.00005	0.000047	0	9.90E-04
1	5408.683	0.731	0.020	18.063	20.812	7.904	28.093	48.524	0.409	9.841	0.199	0.209	25.935	13.410	10.050	0.00004	0.00	0	0.00012	0.00011	1.40E-05	1.30E-05	0	0.000034	0.000018	0.000016	0.000016	0.000015	0.000015	0	6.45E-05
2	8876.708	0.908	0.019	12.925	28.951	15.831	29.218	203.529	0.318	17.677	0.459	4.443	34.909	11.670	13.894	0.00037	0.00	0	0.00265	0.00260	4.40E-05	2.70E-05	0	0.00003	0.000025	0.000023	0.000021	0.00002	0.000018	0	1.33E-03
3	4661.990	0.495	0.016	11.468	16.347	26.525	9.799	203.272	0.362	17.249	0.269	1.754	65.610	6.899	7.206	0.00021	0.00	0	0.00041	0.00041	7.00E-06	9.00E-06	0	0.000027	0.000017	0.000016	0.000015	0.000015	0.000014	0	2.10E-04
4	6558.350	0.953	0.027	10.088	23.745	10.630	6.822	173.406	0.124	29.213	0.155	4.739	58.693	7.714	12.389	0.00057	0.00	0	0.00024	0.00024	6.00E-06	9.00E-06	0	0.000017	0.000012	0.000011	0.000011	0.00001	0.00001	0	1.24E-04
5	4836.479	0.595	0.025	8.147	57.220	19.365	23.253	183.894	0.439	37.594	0.482	3.932	63.809	9.275	7.218	0.00036	0.00	0	0.00045	0.00045	5.90E-05	4.70E-05	0	0.000051	0.000044	0.000042	0.000039	0.000037	0.000035	0	2.51E-04
6	2345.980	0.343	0.010	17.119	15.034	0.508	9.173	159.232	0.199	20.309	0.206	4.826	35.466	8.936	3.448	0.00135	0.00	0	0.00108	0.00109	8.00E-06	2.90E-05	0	0.000031	0.000029	0.000029	0.000029	0.000029	0.000028	0	5.51E-04
7	2986.947	0.564	0.027	8.429	51.243	1.275	20.730	62.213	0.306	22.530	0.210	4.329	40.072	9.209	5.819	0.00119	0.00	0	0.00115	0.00114	6.90E-05	7.40E-05	0	0.000074	0.000067	0.000062	0.000057	0.000054	0.000051	0	6.09E-04
8	2698.376	0.290	0.008	18.763	18.664	26.918	15.972	96.851	0.183	33.862	0.343	1.915	74.229	8.815	4.533	0.00015	0.00	0	0.00018	0.00017	2.60E-05	2.20E-05	0	0.000078	0.000051	0.000047	0.000046	0.000044	0.000042	0	1.00E-04
9	5103.739	0.584	0.027	9.845	46.344	29.888	29.689	138.925	0.177	17.464	0.540	2.466	58.196	10.584	12.784	0.00047	0.00	0	0.00139	0.00126	0.000141	9.50E-05	0.24	0.000237	0.000089	0.000083	0.000077	0.000072	0.000068	0	7.21E-04
10	1092.120	0.221	0.008	11.637	58.831	5.706	32.843	10.433	0.182	7.809	0.440	2.068	20.953	13.233	1.822	0.00290	9.04	3	0.00255	0.00248	0.000318	0.001355	2.41	0.053656	0.005134	0.000699	0.000084	0.000069	0.000064	6.0187	1.68E-03
11	3492.540	0.494	0.020	5.632	8.837	8.093	12.387	139.099	0.130	14.493	0.571	3.049	33.037	5.149	9.533	0.00019	0.00	0	0.00069	0.00068	8.00E-06	7.00E-06	0	0.000014	0.000008	0.000007	0.000007	0.000007	0.000007	0	3.46E-04
12	1739.013	0.217	0.006	17.792	55.400	7.669	25.382	181.039	0.236	30.944	0.291	1.755	52.621	12.390	3.177	0.00044	0.00	0	0.00048	0.00050	1.40E-05	6.10E-05	0.07	0.000709	0.000066	0.000062	0.000059	0.000056	0.000054	0	2.64E-04
13	3950.250	0.512	0.019	14.664	44.109	18.253	29.199	216.640	0.304	19.999	0.048	4.806	51.221	10.020	11.820	0.00076	0.00	1	0.00191	0.00182	9.80E-05	9.70E-05	0.14	0.001779	0.000093	0.000088	0.000082	0.000078	0.000074	0.5021	9.81E-04
14	3481.836	0.396	0.011	15.008	32.282	9.930	18.919	39.496	0.299	26.654	0.182	1.358	46.264	14.222	8.249	0.00050	0.00	0	0.00062	0.00063	1.40E-05	1.60E-05	0	0.000042	0.000023	0.000021	0.000021	0.00002	0.00002	0	3.19E-04
15	2545.454	0.285	0.009	12.315	51.523	1.126	16.426	137.891	0.205	16.419	0.117	2.647	27.775	7.717	5.086	0.00117	0.00	0	0.00077	0.00076	5.50E-05	8.70E-05	0	0.000087	0.000085	0.000083	0.000081	0.00008	0.000078	0	4.18E-04
16	5203.030	0.696	0.020	10.626	26.853	9.906	3.360	186.566	0.422	25.766	0.390	2.950	48.553	17.306	12.630	0.00259	1.97	1	0.00062	0.00057	0.000114	0.000617	0.74	0.011299	0.000055	0.000048	0.000043	0.00004	0.000038	1.48675	4.81E-04
17	8079.362	1.050	0.026	4.170	12.467	21.141	20.614	51.610	0.169	33.204	0.190	1.591	56.822	14.575	15.972	0.00032	0.00	0	0.00050	0.00049	3.00E-06	2.00E-06	0	0.000005	0.000003	0.000003	0.000003	0.000003	0.000002	0	2.49E-04
18	5954.028	0.688	0.019	19.668	12.671	13.928	22.496	116.172	0.133	9.002	0.073	1.650	27.587	7.845	16.120	0.00006	0.00	0	0.00063	0.00062	1.50E-05	1.20E-05	0	0.000035	0.000021	0.00002	0.000019	0.000018	0.000018	0	3.21E-04
19	3654.897	0.650	0.027	4.285	41.511	12.922	35.869	119.848	0.158	18.213	0.534	3.405	65.141	12.600	5.342	0.00018	2.83	4	0.00283	0.00277	0.000276	0.000654	2.31	0.016157	0.003424	0.0005	0.000136	0.00012	0.000112	3.4139	1.63E-03
20	5477.430	0.674	0.030	19.878	54.818	9.527	15.430	9.990	0.450	24.532	0.167	2.425	38.983	7.352	18.194	0.00044	0.00	0	0.00025	0.00026	1.30E-05	1.40E-05	0	0.000039	0.000021	0.000019	0.000018	0.000017	0.000017	0	1.35E-04
21	7955.203	0.819	0.020	10.915	45.161	14.262	25.745	224.821	0.102	28.289	0.051	0.409	55.162	15.285	20.845	0.00014	0.00	0	0.00020	0.00021	3.00E-06	7.00E-06	0	0.000014	0.000009	0.000009	0.000008	0.000008	0.000008	0	1.05E-04
22	3248.236	0.398	0.011	15.329	12.797	26.849	33.331	106.567	0.274	17.988	0.065	1.253	49.602	14.729	5.438	0.00023	0.00	0	0.00095	0.00094	1.90E-05	1.50E-05	0	0.00005	0.000034	0.000032	0.000031	0.00003	0.00003	0	4.79E-04
23	3153.860	0.365	0.014	17.005	38.740	4.341	0.678	206.323	0.436	10.971	0.228	4.238	22.831	6.118	10.242	0.00222	9.07	5	0.00094	0.00084	0.00025	0.002145	2.85	0.050103	0.004716	0.000905	0.000073	0.000055	0.000049	7.03275	1.04E-03
24	4982.399	0.619	0.028	4.245	52.958	16.596	31.184	10.185	0.254	15.502	0.370	2.379	25.979	17.071	15.481	0.00304	4.17	5	0.00426	0.00421	0.000757	0.001106	2.8	0.020251	0.003708	0.001043	0.000203	0.0001	0.000088	4.5851	2.58E-03
25	4440.237	0.580	0.021	16.099	45.721	28.199	17.039	180.750	0.299	24.133	0.466	1.356	39.648	14.228	7.921	0.00085	0.00	0	0.00073	0.00069	4.50E-05	3.40E-05	0	0.000057	0.000034	0.000032	0.000031	0.00003	0.000029	0	3.76E-04
26	8225.402	1.127	0.027	13.533	8.115	21.513	15.472	158.215	0.393	15.868	0.474	2.368	37.379	11.393	20.461	0.00032	0.00	0	0.00229	0.00228	1.10E-05	5.00E-06	0	0.000016	0.000011	0.000011	0.00001	0.00001	0.000009	0	1.15E-03
27	2477.645	0.360	0.010	19.851	53.604	24.083	29.482	183.722	0.437	12.052	0.369	1.686	43.911	12.553	5.685	0.00115	16.15	5	0.00234	0.00221	0.000335	0.002452	2.58	0.040277	0.00569	0.000666	0.000087	0.000074	0.000069	10.57675	1.83E-03
28	955.184	0.152	0.004	12.795	56.485	13.906	32.093	103.622	0.120	13.890	0.173	2.213	39.712	13.885	2.761	0.00144	11.53	4	0.00333	0.00314	0.000353	0.001646	3.83	0.060746	0.011774	0.003264	0.000947	0.000141	0.000105	7.76715	2.12E-03
29	2514.152	0.428	0.017	19.104	42.738	8.973	26.797	155.854	0.456	27.304	0.369	2.032	51.303	11.609	4.039	0.00039	0.00	0	0.00063	0.00064	9.00E-06	3.40E-05	0	0.000071	0.000044	0.000041	0.000039	0.000038	0.000037	0	3.28E-04
30	6271.593	0.687	0.028	18.053	14.298	8.545	4.990	29.728	0.483	5.375	0.466	1.024	15.955	5.745	18.245	0.00114	0.00	0	0.00156	0.00155	1.80E-05	1.00E-05	0	0.000027	0.000018	0.000016	0.000015	0.000015	0.000014	0	7.85E-04
31	1370.622	0.318	0.013	5.291	30.218	25.972	13.438	47.023	0.197	38.532	0.177	3.943	62.000	8.951	2.580	0.00037	0.00	0	0.00029	0.00028	2.10E-05	2.50E-05	0	0.000032	0.000026	0.000024	0.000024	0.000023	0.000023	0	1.52E-04
32	5797.628	0.619	0.017	3.211	50.168	14.969	4.301	89.694	0.254	39.476	0.505	0.516	79.919	15.586	11.613	0.00011	0.00	0	0.00012	0.00012	2.00E-05	1.00E-05	0	0.000014	0.00001	0.000009	0.000008	0.000008	0.000007	0	6.63E-05
33	6260.442	0.856	0.027	7.558	9.414	25.027	18.186	114.256	0.286	35.166	0.500	0.269	58.122	9.412	20.168	0.00003	0.00	0	0.00003	0.00003	7.00E-06	4.00E-06	0	0.000013	0.000009	0.000008	0.000007	0.000007	0.000007	0	1.75E-05
34	8249.303	0.840	0.018	15.846	17.277	1.245	12.444	77.465	0.209	43.370	0.292	1.983	83.559	10.283	16.494	0.00018	0.00	0	0.00009	0.00009	2.00E-06	8.00E-06	0	0.000008	0.000008	0.000007	0.000007	0.000007	0.000007	0	4.80E-05
35	8318.680	0.965	0.029	11.630	47.849	15.354	7.460	17.096	0.365	9.810	0.188	2.108	25.428	10.120	15.741	0.00355	0.00	0	0.00120	0.00119	4.70E-05	5.70E-05	0	0.000068	0.000054	0.000051	0.000047	0.000045	0.00004	0	6.24E-04
36	3225.280	0.543	0.016	13.359	21.431	2.072	0.468	25.640	0.471	33.540	0.033	3.622	78.286	5.067	9.308	0.00013	0.00	0	0.00000	0.00001	5.00E-06	1.60E-05	0	0.000017	0.000016	0.000016	0.000016	0.000015	0.000015	0	7.50E-06
37	4110.173	0.412	0.015	15.314	15.211	19.905	23.882	16.123	0.141	23.677	0.059	3.496	61.496	15.985	6.752	0.00043	0.00	0	0.00298	0.00297	2.40E-05	1.30E-05	0	0.000039	0.000025	0.000023	0.000022	0.000021	0.00002	0	1.50E-03
38	6903.352	0.807	0.021	17.887	43.899	23.075	3.449	231.775	0.294	15.239	0.068	0.442	37.557	6.966	10.946	0.00015	0.00	0	0.00006	0.00005	1.00E-05	1.60E-05	0	0.000029	0.000019	0.000018	0.000017	0.000017	0.000016	0	3.28E-05
39	5977.680	0.679	0.018	19.318	33.129	21.698	18.596	186.123	0.147	7.898	0.530	1.007	12.663	8.004	15.441	0.00107	0.00	0	0.00077	0.00074	3.50E-05	9.00E-06	0	0.000027	0.00002	0.000019	0.000018	0.000018	0.000017	0	3.89E-04
40	5996.240	0.618	0.022	8.961	41.909	29.176	11.147	102.824	0.451	38.583	0.190	0.617	75.617	6.936	9.233	0.00003	0.00	0	0.00003	0.00003	3.00E-06	6.00E-06	0	0.000018	0.00001	0.000009	0.000009	0.000009	0.000009	0	1.55E-05
41	3220.941	0.325	0.007	15.455	42.446	8.724	0.402	191.443	0.134	26.060	0.123	3.871	71.013	16.554	8.798	0.00245	6.27	3	0.00055	0.00049	0.0002	0.001222	1.85	0.033321	0.00389	0.00007	0.000056	0.000051	0.000047	4.63485	6.15E-04
42	2621.144	0.378	0.014	10.458	54.095	12.980	15.695	27.153	0.302	25.702	0.257	0.442	77.775	10.485	4.311	0.00009	0.00	0	0.00011	0.00012	1.00E-05	1.80E-05	0	0.00004	0.000026	0.000022	0.000021	0.00002	0.00002	0	6.55E-05
