Number	E	Ft	Gft	Height	Length	Opening Rate	Distance	E_Soil	Soil_Piossons	Trough Width	Friction 	VL	Depth	Diameter	Fc	Identifier		C. Width		Tot. Cracks 			L. Average	Slope	Tilt	Ang. Dist.						Max Strain	G. Average
1	3653.786359	0.607113863	0.02744959	7.202675902	20.5536503	22.11902643	16.729404	219.1340286	0.152921431	10.23978761	0.103763531	0.745323254	34.20551798	13.83360887	9.421151888	0	0	0	0	0	0	0	0	0.001943	0.001843	0.000105	6.80E-05	-2.00E-06	0.000114	-0.000112	1.90E-05	6.80E-05	0.00098975
2	5408.683484	0.730589576	0.019672452	18.06320311	20.81238251	7.903801394	28.09251417	48.52405992	0.408768414	9.840971856	0.199008636	0.208807574	25.93519456	13.41025729	10.05002534	1	0	0	0	0	0	0	0	0.000119	0.000112	1.40E-05	0	1.30E-05	1.90E-05	1.40E-05	1.20E-05	1.30E-05	6.45E-05
3	8876.708361	0.907669242	0.018733042	12.92504408	28.95076485	15.83075347	29.21845674	203.5293132	0.31753728	17.67706294	0.458796298	4.443449741	34.90861729	11.66980887	13.89406729	2	0	0	0	0	0	0	0	0.002647	0.002603	4.40E-05	2.70E-05	0	4.60E-05	-4.60E-05	-1.00E-06	2.70E-05	0.00133025
4	4661.990407	0.494783682	0.016125664	11.46832407	16.34731975	26.52525058	9.79917976	203.2715238	0.361660572	17.24937335	0.269438041	1.753589378	65.6104819	6.898997272	7.206319924	3	0	0	0	0	0	0	0	0.000412	0.000411	7.00E-06	0	9.00E-06	1.00E-05	7.00E-06	6.00E-06	9.00E-06	0.00020975
5	6558.349591	0.952867014	0.027133457	10.08804147	23.74475465	10.62990737	6.821599729	173.4058406	0.124282823	29.21271969	0.155165121	4.739464575	58.69278258	7.714080522	12.38902912	4	0	0	0	0	0	0	0	0.000241	0.00024	6.00E-06	0	9.00E-06	1.10E-05	-6.00E-06	9.00E-06	9.00E-06	0.000124
6	4836.478725	0.594571202	0.02494793	8.146813201	57.2196606	19.36451355	23.25285176	183.8941083	0.438839168	37.5936619	0.482431979	3.931979239	63.80868937	9.274515182	7.21775809	5	0	0	0	0	0	0	0	0.000452	0.000447	5.90E-05	0	4.70E-05	6.40E-05	5.90E-05	2.50E-05	4.70E-05	0.00025125
7	2345.979764	0.342620856	0.009775029	17.11882594	15.03388225	0.508474907	9.172964136	159.2322978	0.199388772	20.30863329	0.206385433	4.825668915	35.46639731	8.936050168	3.447896237	6	0	0	0	0	0	0	0	0.001081	0.001087	8.00E-06	0	2.90E-05	3.00E-05	-6.00E-06	2.90E-05	2.90E-05	0.00055125
8	2986.947159	0.564371492	0.026980092	8.428605496	51.24271076	1.274718548	20.73005634	62.21285626	0.305553899	22.5297968	0.209519109	4.329325355	40.07227157	9.209379369	5.818944924	7	0	0	0	0	0	0	0	0.001154	0.001139	6.90E-05	1.10E-05	7.40E-05	7.50E-05	-4.00E-06	7.40E-05	7.40E-05	0.000609
9	2698.376195	0.290026735	0.008452938	18.76302031	18.66389477	26.91842415	15.9722501	96.85130046	0.182653703	33.86150175	0.343201535	1.915319601	74.22878289	8.815244905	4.533047907	8	0	0	0	0	0	0	0	0.000181	0.000172	2.60E-05	0	2.20E-05	3.10E-05	2.60E-05	1.60E-05	2.20E-05	0.00010025
10	5103.738905	0.583695191	0.027100126	9.844709926	46.34402164	29.88806717	29.68861849	138.9250692	0.176728504	17.46403179	0.540131741	2.466242746	58.19582135	10.58443719	12.78441364	9	0	0	0	0	0	0	0	0.001385	0.001264	0.000141	9.50E-05	-4.00E-06	0.000157	-0.000156	2.30E-05	9.50E-05	0.00072125
11	1092.119522	0.220596564	0.008353776	11.63727448	58.831103	5.706357633	32.84330799	10.43255033	0.182300613	7.809035959	0.43955158	2.068357385	20.95341801	13.23340255	1.82210077	10	3	9.0374	386.464	3	0	50.67479286	6.0187	0.00255	0.00248	0.000318	0.001355	2.10E-05	0.001373	-0.000219	0.001355	0.001355	0.00167575
12	3492.539686	0.494105728	0.020119551	5.631695558	8.837424069	8.092983961	12.38699024	139.0991423	0.130052331	14.49345385	0.570840974	3.049499699	33.03713153	5.148841171	9.532575263	11	0	0	0	0	0	0	0	0.000687	0.000683	8.00E-06	1.00E-06	7.00E-06	1.00E-05	-9.00E-06	4.00E-06	7.00E-06	0.00034625
13	1739.012767	0.217302114	0.006267381	17.79182262	55.40049775	7.669403032	25.38211352	181.0392067	0.235777104	30.94410366	0.291421533	1.755291767	52.62068762	12.38973768	3.176781338	12	0	0	0	0	0	0	0	0.000483	0.000497	1.40E-05	-1.00E-06	6.10E-05	6.10E-05	-1.00E-05	6.10E-05	6.10E-05	0.00026375
14	3950.250081	0.512255494	0.019031907	14.66377415	44.10927287	18.253491	29.19921498	216.639901	0.303828218	19.99905846	0.048475191	4.806486806	51.22083672	10.02008914	11.81986901	13	1	0.0042	-8457.4157	1	0	30.85233544	0.5021	0.001905	0.001824	9.80E-05	9.70E-05	0	0.000121	-0.000119	2.10E-05	9.70E-05	0.000981
15	3481.835546	0.395841578	0.011026412	15.00785488	32.28201663	9.929633452	18.91856465	39.49642407	0.299187026	26.65388471	0.182076443	1.357502153	46.2640611	14.22174581	8.248844806	14	0	0	0	0	0	0	0	0.000619	0.000625	1.40E-05	3.00E-06	1.60E-05	2.10E-05	-1.70E-05	1.30E-05	1.60E-05	0.0003185
16	2545.454103	0.285224138	0.008801711	12.31520576	51.5229472	1.126002907	16.42573541	137.8913025	0.205385681	16.41945016	0.117305572	2.64674551	27.77486655	7.71699592	5.085768116	15	0	0	0	0	0	0	0	0.000772	0.000759	5.50E-05	9.00E-06	8.70E-05	8.70E-05	-7.00E-06	8.70E-05	8.70E-05	0.00041825
17	5203.02977	0.696055101	0.019713097	10.62610104	26.85327742	9.905620048	3.36039324	186.5662534	0.422252742	25.76643185	0.389841127	2.949666771	48.55336834	17.30622464	12.63038895	16	1	1.9735	4071.2253	1	0	65.19600153	1.48675	0.00062	0.000572	0.000114	1.00E-06	0.000617	0.000628	0.000114	0.000617	0.000617	0.00048075
18	8079.361589	1.049599004	0.026456197	4.170014084	12.46739829	21.14113144	20.61354291	51.60950942	0.169171173	33.2037577	0.190036342	1.591027252	56.8221839	14.57515211	15.97166248	17	0	0	0	0	0	0	0	0.000495	0.000494	3.00E-06	1.00E-06	2.00E-06	3.00E-06	3.00E-06	1.00E-06	2.00E-06	0.0002485
19	5954.027897	0.688096076	0.01941693	19.66845968	12.67072259	13.92786357	22.49615106	116.1721176	0.133053758	9.002073507	0.072958009	1.650102021	27.58736212	7.845003974	16.12042351	18	0	0	0	0	0	0	0	0.000633	0.000624	1.50E-05	-1.00E-06	1.20E-05	2.20E-05	-2.10E-05	8.00E-06	1.20E-05	0.000321
20	3654.897276	0.650163493	0.026778232	4.284613385	41.51060916	12.92217735	35.86859259	119.8478573	0.157905679	18.21285446	0.533827486	3.405497605	65.14106863	12.59952246	5.341749951	19	3	2.8278	259.5079	4	0	50.63513994	3.4139	0.002828	0.002765	0.000276	0.000654	-1.40E-05	0.000676	-0.000171	0.000654	0.000654	0.00163075
21	5477.429792	0.674124711	0.029644902	19.87767357	54.81832424	9.526637415	15.43020329	9.990054659	0.449708482	24.5321412	0.167072497	2.425294192	38.98324413	7.352479286	18.19389541	20	0	0	0	0	0	0	0	0.000254	0.00026	1.30E-05	2.00E-06	1.40E-05	1.70E-05	1.30E-05	1.10E-05	1.40E-05	0.00013525
22	7955.203417	0.818684167	0.019801791	10.91495865	45.16123307	14.26221507	25.74543325	224.8206423	0.102369733	28.28903774	0.051286285	0.40910919	55.16192569	15.28542687	20.84522874	21	0	0	0	0	0	0	0	0.000203	0.000206	3.00E-06	1.00E-06	7.00E-06	7.00E-06	-2.00E-06	7.00E-06	7.00E-06	0.00010475
23	3248.235822	0.397992406	0.010526813	15.32911133	12.79678774	26.84879859	33.33097768	106.566707	0.274029063	17.9877417	0.065324874	1.252911888	49.60163566	14.7286911	5.437650906	22	0	0	0	0	0	0	0	0.000946	0.000937	1.90E-05	0	1.50E-05	2.30E-05	1.90E-05	1.20E-05	1.50E-05	0.00047925
24	3153.860139	0.365299889	0.013967215	17.00450799	38.7401685	4.34122504	0.677570995	206.3231448	0.435566946	10.97074109	0.228465824	4.238418106	22.83082249	6.117930112	10.24233074	23	5	9.0655	-6961.5561	5	0	32.00952791	7.03275	0.00094	0.000836	0.00025	-1.00E-06	0.002145	0.002154	-0.00019	0.002145	0.002145	0.00104275
25	4982.399108	0.619443245	0.02801443	4.244706456	52.95756075	16.59629701	31.18378448	10.18452233	0.254024854	15.5015079	0.370268106	2.378652875	25.97888126	17.07059025	15.48108039	24	3	4.1702	-224.5667	5	0	49.58836961	4.5851	0.004261	0.004213	0.000757	0.001106	0.000103	0.00115	0.000316	0.001106	0.001106	0.00258425
26	4440.237385	0.58008285	0.020718005	16.0993187	45.72057884	28.19882413	17.03892982	180.7502039	0.299145158	24.13280182	0.465948564	1.35573539	39.64846279	14.2276743	7.921068982	25	0	0	0	0	0	0	0	0.000732	0.000693	4.50E-05	0	3.40E-05	6.10E-05	-5.80E-05	1.90E-05	3.40E-05	0.000376
27	8225.401725	1.126939111	0.027224901	13.53347902	8.114781961	21.51305736	15.47190955	158.2147683	0.393240279	15.86801043	0.47380709	2.368114395	37.37924769	11.39334944	20.46077227	26	0	0	0	0	0	0	0	0.002288	0.00228	1.10E-05	0	5.00E-06	1.10E-05	1.10E-05	4.00E-06	5.00E-06	0.001146
28	2477.645157	0.360428415	0.010258531	19.85137206	53.60430522	24.08335135	29.48172607	183.7224996	0.43729874	12.05178192	0.369325746	1.686344633	43.91069554	12.5528037	5.685081128	27	5	16.1535	-12403.1065	5	0	26.87726744	10.57675	0.002344	0.002207	0.000335	0.002452	1.10E-05	0.002464	-0.00024	0.002452	0.002452	0.0018345
29	955.1837344	0.15217537	0.004439291	12.79464671	56.48534491	13.90570027	32.09291159	103.622112	0.119789399	13.88958725	0.172690447	2.21270282	39.71151531	13.88524862	2.760531461	28	4	11.5343	-7413.9816	4	0	36.91174777	7.76715	0.003326	0.003138	0.000353	0.001646	2.90E-05	0.00165	0.000115	0.001646	0.001646	0.00211575
30	2514.151614	0.427700445	0.016963242	19.10400169	42.73800228	8.973120825	26.79735369	155.8542556	0.45597431	27.30421026	0.369303682	2.032055915	51.30341859	11.60857002	4.03914351	29	0	0	0	0	0	0	0	0.000629	0.00064	9.00E-06	3.00E-06	3.40E-05	3.40E-05	-1.00E-06	3.40E-05	3.40E-05	0.000328
31	6271.592927	0.686835616	0.028357676	18.05288836	14.29795484	8.545024052	4.990152108	29.72830382	0.482853691	5.374656525	0.466312891	1.024159095	15.95468255	5.744648923	18.2449653	30	0	0	0	0	0	0	0	0.001562	0.001551	1.80E-05	0	1.00E-05	2.10E-05	-1.90E-05	9.00E-06	1.00E-05	0.00078525
32	1370.622301	0.317798833	0.013494435	5.29091012	30.21820793	25.97187366	13.43754714	47.02331544	0.196917563	38.53214509	0.177137913	3.942947108	61.9998407	8.951099514	2.580059529	31	0	0	0	0	0	0	0	0.000287	0.000276	2.10E-05	-1.00E-06	2.50E-05	2.90E-05	-2.20E-05	2.00E-05	2.50E-05	0.00015225
33	5797.627833	0.618983662	0.017345659	3.211033381	50.16783144	14.96910924	4.300634938	89.6937054	0.254231681	39.47626651	0.504638009	0.516434379	79.91881498	15.58616914	11.61294656	32	0	0	0	0	0	0	0	0.000119	0.000116	2.00E-05	-1.00E-06	1.00E-05	2.10E-05	2.00E-05	7.00E-06	1.00E-05	6.63E-05
34	6260.441646	0.85565788	0.027381412	7.55837066	9.413900217	25.02662383	18.18615444	114.2558261	0.286011552	35.1659861	0.500094008	0.269458587	58.12174993	9.412082815	20.16790915	33	0	0	0	0	0	0	0	3.10E-05	2.80E-05	7.00E-06	0	4.00E-06	7.00E-06	7.00E-06	3.00E-06	4.00E-06	1.75E-05
35	8249.302754	0.839961192	0.017676544	15.84558277	17.27735032	1.245409592	12.4444657	77.46453305	0.208899439	43.36986933	0.291710553	1.983353346	83.55869665	10.28257709	16.49370316	34	0	0	0	0	0	0	0	9.00E-05	9.20E-05	2.00E-06	0	8.00E-06	8.00E-06	2.00E-06	7.00E-06	8.00E-06	4.80E-05
36	8318.679712	0.965349478	0.028611544	11.62999738	47.849166	15.3540546	7.460430174	17.09649719	0.364659064	9.809745154	0.187500434	2.10833941	25.42772764	10.1204221	15.74094965	35	0	0	0	0	0	0	0	0.001204	0.001186	4.70E-05	-2.00E-06	5.70E-05	6.10E-05	-4.90E-05	3.60E-05	5.70E-05	0.0006235
37	3225.280255	0.543438338	0.016420391	13.35939335	21.43128585	2.072042904	0.468113739	25.63976222	0.471037192	33.53981216	0.032801688	3.622020434	78.28617518	5.067248182	9.308379252	36	0	0	0	0	0	0	0	2.00E-06	7.00E-06	5.00E-06	1.00E-06	1.60E-05	1.70E-05	4.00E-06	1.60E-05	1.60E-05	7.50E-06
38	4110.172759	0.411909755	0.014978219	15.31447854	15.21104885	19.9054418	23.88190088	16.12308634	0.141282042	23.67734921	0.059027656	3.496434865	61.49632895	15.98480661	6.751570482	37	0	0	0	0	0	0	0	0.002981	0.002966	2.40E-05	0	1.30E-05	2.50E-05	2.40E-05	9.00E-06	1.30E-05	0.001496
39	6903.351635	0.807456769	0.020773796	17.88671735	43.89931327	23.07548397	3.44930319	231.774644	0.294427205	15.23923835	0.067539007	0.442095778	37.55659126	6.966004147	10.94562717	38	0	0	0	0	0	0	0	5.60E-05	4.90E-05	1.00E-05	-1.00E-06	1.60E-05	1.70E-05	-8.00E-06	1.40E-05	1.60E-05	3.28E-05
40	5977.679916	0.678752555	0.018002017	19.31764361	33.12934427	21.69805348	18.59608907	186.1233018	0.147111659	7.898040348	0.530131483	1.006672776	12.66325644	8.003640345	15.44127419	39	0	0	0	0	0	0	0	0.000772	0.000738	3.50E-05	9.00E-06	7.00E-06	3.60E-05	3.50E-05	6.00E-06	9.00E-06	0.0003885
41	5996.239541	0.617916896	0.022114358	8.960978216	41.90865523	29.17588261	11.14749612	102.8244339	0.450666709	38.58342799	0.189932697	0.617080471	75.61706132	6.935659696	9.233198266	41	0	0	0	0	0	0	0	2.60E-05	2.70E-05	3.00E-06	0	6.00E-06	6.00E-06	-2.00E-06	5.00E-06	6.00E-06	1.55E-05
42	3220.940706	0.324800054	0.007337235	15.45450464	42.44573615	8.723624785	0.402303834	191.4434718	0.133583265	26.05957743	0.123080611	3.871386011	71.01324341	16.55352561	8.7977357	42	3	6.2697	-3632.9599	3	0	41.45895407	4.63485	0.000549	0.00049	0.0002	-3.00E-06	0.001222	0.001222	3.20E-05	0.001222	0.001222	0.00061525
43	2621.14428	0.378152481	0.014291647	10.45750069	54.09477136	12.98008469	15.69497285	27.1532952	0.301611219	25.70185369	0.257237757	0.442463223	77.77450993	10.48475725	4.311173048	43	0	0	0	0	0	0	0	0.000114	0.00012	1.00E-05	3.00E-06	1.80E-05	1.80E-05	1.00E-05	1.50E-05	1.80E-05	6.55E-05
44	950.8831253	0.154310685	0.004995737	7.103527295	13.84176817	15.79273439	12.83600049	61.51187412	0.156317287	23.29306857	0.535647638	2.135498301	50.32358021	5.610300406	1.737617773	44	0	0	0	0	0	0	0	0.000203	0.000199	3.60E-05	6.00E-06	2.80E-05	5.70E-05	-5.20E-05	2.30E-05	2.80E-05	0.0001165
